UI_20150317_000001	{@st41b}Học Thuộc Tính{nl}Từ Bậc Thầy Của Mỗi Class.{/}				
UI_20150317_000002	{@st43}Danh Sách Thuộc Tính {/}				
UI_20150317_000003	{@st59}Đóng{/}				
UI_20150317_000004	{@st43}Học Thuộc tính{/}				
UI_20150317_000005	{@st59}Đóng{/}				
UI_20150317_000006	{@st41b}Silver{/}				
UI_20150317_000007	Thành Tích Của Tôi					
UI_20150317_000008	Xếp Hạng Server					
UI_20150317_000009	{@st59}Xuất Hiện Một Sự Kiện Bất Ngờ.{/}				
UI_20150317_000010	{@st59}Có Tin Nhắn Trợ Giúp Mới{/}				
UI_20150317_000011	{@st41}Bạn có Chắc Chắn Muốn Chế Tạo Loại Mũi Tên Này?{/}			
UI_20150317_000012	{@st41b}Một Lần{/}					
UI_20150317_000013	{@st41b}Tất Cả{/}}				
UI_20150317_000014	{@st41b}Tạm Dừng{/}				
UI_20150317_000015	{@st43}Nhật Ký Phiêu Lưu{/}				
UI_20150317_000016	{@st43}Nhà Đấu Giá{/}				
UI_20150317_000017	{@st59}Đóng{/}				
UI_20150317_000018	{@st41b}Vật Phẩm Bán : ×%s, Vật Phẩm Không Bán : ×%s{/}					
UI_20150317_000019	{@st43}{s22}Vật Phẩm Đấu Giá{/}					
UI_20150317_000020	{@st59}Đóng{/}			
UI_20150317_000021	Nghỉ Ngơi					
UI_20150317_000022	{@st41b}Thời Gian Còn Lại					
UI_20150317_000023	3 Giờ 16 Phút					
UI_20150317_000024	{@st41b}Giá Khởi Điểm					
UI_20150317_000025	{@st41b}Số Lần Trả Giá					
UI_20150317_000026	{@st41b}Giá Hiện Tại					
UI_20150317_000027	{@st41b}Giá Đấu Giá				
UI_20150317_000028	{@st41b}Giá Đấu Giá Tối Thiểu Từ {@st57}%s{@st41b}silver{/}				
UI_20150317_000029	{@st41b}Đấu Giá{/}				
UI_20150317_000030	{@st43b}Mua Ngay!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}Thiết Lập Quyền{/}				
UI_20150317_000032	{@st45}Tên: %s{/}				
UI_20150317_000033	{@st45}Kho Của Party {/}			
UI_20150317_000034	{@st49}None				
UI_20150317_000035	{@st49}Cửa Hàng					
UI_20150317_000036	{@st49}Nhận				
UI_20150317_000037	{@st45}Khảo Sát{/}				
UI_20150317_000038	{@st49}Tạo mới			
UI_20150317_000039	{@st49}Xóa				
UI_20150317_000040	{@st44}Lưu{/}				
UI_20150317_000041	{@st44}Hủy{/}				
